flower	symbol
방크스 소나무	희망의 속삭임
방크시아	이루어질 수 없는 사랑
벨로페로네	겸손, 청초
부겐빌레아	정열, 조화
뷰글라스	진실
브라질아브틸론	당신을 따르겠습니다
브리오니아	거절
사루비아	불타는 마음, 정열, 가족애
사과나무	명예, 영광, 현명, 성공
사라세니아	끈기
사상크로스	그리움, 애교
사랑초	당신을 버리지 않겠습니다
사보렌	온정, 열정, 존경
사상자	순결, 결백
사스레피나무	당신은 소중합니다
사프란	환희, 지나간 행복, 절제의 미
사철나무	변화 없음
산나리	순결
산당화	겸손, 단조
산딸기	사랑, 마음 아픈 열애
산사나무	유일한 사랑
산세베리아	관용, 약속을 실행하다
산하엽	친애의 정, 행복, 청초한 사람
산황나무	발전
산세베리아	관용
산수유	지속, 불변
산앵두	오로지 한 사랑
산옥잠화	망각의 사랑
살구나무	아가씨의 수줍음
삼나무	웅대, 그대를 위해 살다
상사화	이룰 수 없는 행복(사랑)
상수리나무	번영
색동호박	나의 마음은 아름답다
생달나무	위로
샌달우드	고요함 속의 강인함
센트레아	행복, 섬세, 유쾌
샤스타데이지	만사는 인내
서어나무	재물
서양모과	영원한 사랑
서향나무	불멸, 명예, 꿈 속의 사랑
석류	원숙미, 원숙한 아름다움, 어리석음, 통합
석산(= 피안화)	슬픈 추억, 잃어버린 기억, 이룰 수 없는 사랑
선인장	열정, 정열, 무모한 사랑
설강화	희망
설앵초	수줍움, 천국의 열쇠, 행운의 열쇠
세인트폴리아	작은 사랑
세이지	가정의 평화
소귀나무	그대만을 사랑해요.
소나무	불변, 불멸
소철	강한 사랑, 속세 비법
소태나무	애교
솔송나무	행복한 마음
송엽국	나태
쇠서나물	발랄
수국	변덕, 진심, 고집, 냉정, 당신은 차갑다
수련	깨끗한 마음, 청순한 마음
수레국화(= 센트레아)	행복
수박꽃	큰 마음
수선화	자기애, 자존심, 고결, 신비, 외로움
순비기나무	그리움
쉬땅나무	신중함
스노드롭	깊은 애정, 희망,당신의 죽음을 기원합니다
스위트피	기쁨, 가련, 추억(나를 기억해줘요)
스윗오렌지	열린 마음
스타티스	영원한 사랑
스톡크	믿어주세요
스프랑게리	항상 변함 없음
스피리아	노력
스타치스	영원한 사랑
스트로벨리	선견지명
스파티필룸	감싸는 사랑
스프랑게리	항상 변화 없음
스피리아	노력
시계꽃	믿음
시금치	활력
시네라리아	항상 즐거움, 항상 빛남
시스투스	인기, 나는 내일/언젠가 죽겠지
시클라멘	수줍음, 질투, 가버린 사랑
식나무	젊고 아름답다
신나무	변치 않는 귀여움
싸리꽃	단정한 사랑
싸리나무	상념, 사색
씀바귀	순박, 헌신함
쐐기풀	악의
싱고니움	기쁨, 즐거움
쉐플레라	함께하는 사랑, 행복
아가판더스	사랑의 전달, 희망
아게라텀	신뢰
아글라오네마	부귀, 행복, 행운
아디언텀	신명, 애교
아레카야자	부활
